10003	IGNORE	Vulnerable JS Library
10015	IGNORE	Incomplete or No Cache-control Header Set
10021	IGNORE	X-Content-Type-Options Header Missing
10035	IGNORE	Strict-Transport-Security Header Not Set
10036	IGNORE	Server Leaks Version Information via "Server" HTTP Response Header Field
10037	IGNORE	Server Leaks Information via "X-Powered-By" HTTP Response Header Field
10038	IGNORE	Content Security Policy (CSP) Header Not Set
10055	IGNORE	CSP: Wildcard Directive
10063	IGNORE	Permissions Policy Header Not Set
10096	IGNORE	Timestamp Disclosure - Unix
10098	IGNORE	Cross-Domain Misconfiguration
90033	IGNORE	Loosely Scoped Cookie
